doc                                            pg      OFF       ON    delta
gen2_055_Risk_Management_Report                net=+0.0024  (2 pg)
29dc6e8943fe_order_01                          net=+0.0024  (6 pg)
gen_jp_invoice                                 net=+0.0026  (1 pg)
gen_jp_notice                                  net=+0.0029  (1 pg)
gen2_071_Root_Cause_Analysis                   net=+0.0030  (1 pg)
gen2_048_Quality_Report                        net=+0.0030  (1 pg)
gen2_070_Incident_Report                       net=+0.0031  (1 pg)
gen2_069_Change_Request_Form                   net=+0.0036  (2 pg)
gen2_065_Privacy_Notice                        net=+0.0039  (1 pg)
gen2_049_Safety_Committee_Minutes              net=+0.0043  (2 pg)
gen2_041_Annual_Report                         net=+0.0044  (2 pg)
gen2_053_Compliance_Training                   net=+0.0048  (1 pg)
gen2_062_Service_Contract                      net=+0.0052  (1 pg)
gen2_076_User_Guide                            net=+0.0054  (1 pg)
b837808d0555_20240705_resources_data_guideline net=+0.0061  (7 pg)
gen2_074_Test_Plan                             net=+0.0063  (2 pg)
gen2_047_Process_Improvement                   net=+0.0070  (1 pg)
gen2_058_Customer_Survey_Results               net=+0.0080  (2 pg)
gen2_001_株主総会招集通知                              net=+0.0085  (2 pg)
gen2_029_慶弔見舞金規程                               net=+0.0099  (1 pg)
gen2_032_経費精算マニュアル                             net=+0.0108  (2 pg)
bd90b00ab7a7_order_05                          net=+0.0109  (2 pg)
683ffcab86e2_20230331_resources_open_data_cont net=+0.0115  (3 pg)
gen2_054_Audit_Report                          net=+0.0115  (2 pg)
gen2_025_ハラスメント防止規程                            net=+0.0134  (2 pg)
db9ca18368cd_20241122_resource_open_data_01    net=+0.0138  (3 pg)
gen2_052_Privacy_Policy                        net=+0.0165  (1 pg)
gen2_005_研修報告書                                 net=+0.0174  (2 pg)
gen2_051_Security_Policy                       net=+0.0174  (2 pg)
